epoch,train_loss,test_loss,test_accuracy
0,19.84057393252965,32.42645202636719,0.1136
1,10.861781553132897,8.525338125228881,0.241
2,9.118840882881718,7.18944634437561,0.1952
3,10.115262596494455,9.999725227355958,0.2143
4,5.670314372215046,5.613976469039917,0.2544
5,4.879604238869769,7.2196267795562745,0.2344
6,7.450948545689948,10.31801383972168,0.2806
7,5.260034424319238,3.333644304275513,0.4277
8,5.141674316920185,5.643295202255249,0.3566
9,4.429571191494541,5.905589437484741,0.4019
10,4.653451009623712,7.10103406906128,0.3676
11,3.942211508595857,6.706507625579834,0.394
12,3.2097193007104936,5.610995655059814,0.391
13,2.670303014245431,3.721683688163757,0.4772
14,2.3048027975845415,3.2035917711257933,0.5081
15,2.655871987367427,2.4719992589950563,0.5298
16,2.119365152876767,2.2251034426689147,0.5703
17,2.5015141807776087,2.937016019821167,0.5346
18,1.723660414473473,1.791807472705841,0.5466
19,1.693175781444267,1.8318335700035095,0.5405
20,1.7766342028687057,1.836411645412445,0.5515
21,1.5544579652639177,1.44821053981781,0.6066
22,1.5596500771145934,1.4621559548377991,0.6054
23,1.3917013289349769,1.513091676235199,0.5968
24,1.3690987393566283,1.35725998878479,0.6181
25,1.337594222013075,1.392063307762146,0.6092
26,1.3805490932099505,1.1948234307765961,0.6548
27,1.3159157970286155,1.667121307849884,0.5993
28,1.0950083300148847,1.1343679404258729,0.6589
29,1.1558879278871934,1.3744733905792237,0.6492
30,1.0376512336429267,1.0849638211727142,0.6744
31,1.046885769851314,1.1989532244205474,0.6535
32,1.1186722301833734,0.9681258833408356,0.6948
33,1.0076163878619437,0.9887171626091004,0.6958
34,0.9566751690249241,0.9339509236812592,0.697
35,0.9959775815289577,0.9902264893054962,0.6855
36,0.9334579358577126,1.0255466830730438,0.6844
37,0.8883620061255199,1.0007905066013336,0.6925
38,0.9321763674681787,0.8671772015094757,0.722
39,0.8652099893243482,0.8557257080078124,0.7209
40,0.9468183926023157,0.9456067824363709,0.701
41,0.8942955116199622,0.8752679181098938,0.7179
42,0.8621385061991929,0.8491328823566436,0.7243
43,0.8198917798612162,0.8394185531139374,0.7243
44,0.8513117016242158,0.9179578638076782,0.7096
45,0.8527010010781118,0.8897279322147369,0.7145
46,0.8128424657341472,0.8297573518753052,0.7311
47,0.7787408330917411,0.8416243183612824,0.7282
48,0.7933479002158144,0.8124011993408203,0.7363
49,0.7892532308423487,0.7879187458753586,0.7411
50,0.7811287552598897,0.8381263160705567,0.7255
51,0.8314417649486332,0.8059890103340149,0.7402
52,0.7813630246059678,0.75742014169693,0.7491
53,0.7474018240580005,0.8111154508590698,0.7357
54,0.77630201288108,0.800726021528244,0.7388
55,0.7874981154861534,0.7811577880382538,0.7424
56,0.7104696454901359,0.8069446992874145,0.7345
57,0.7703212056258023,0.8012490463256836,0.7405
58,0.7185369217578692,0.7603184103965759,0.7514
59,0.7284696907265609,0.7240058112144471,0.7615
60,0.7141796128096605,0.7473054480552673,0.7534
61,0.757007413410091,0.740504322052002,0.7561
62,3995.327900130122,6777.065263671875,0.5693
63,3300.7403439748837,5964.763310546875,0.6352
64,2832.358364612675,5842.36357421875,0.6659
65,2694.0468628013164,4906.6222314453125,0.7358
66,2392.771903416643,4232.683481445312,0.7788
67,2259.6949469246324,4303.865854492187,0.7472
68,2095.161575142826,3154.35560546875,0.8291
69,2036.7504520547145,3164.789736328125,0.8268
70,1945.5151380456714,3086.7705712890624,0.8353
71,1846.6290832534446,2927.6143505859377,0.843
72,1748.7856723520547,2845.03513671875,0.8501
73,1698.028375789796,2753.746875,0.8564
74,1675.0677283893438,2539.68501953125,0.8652
75,1566.435117969653,2402.25291015625,0.8741
76,1492.419069787136,2406.0956787109376,0.8713
77,1423.5708635946867,2314.6114794921873,0.8729
78,1347.2225301646563,2273.2653369140626,0.8796
79,1275.8762227361392,2190.618984375,0.8811
80,1281.325944249551,2168.867165527344,0.8835
81,1186.058550648664,2080.7933715820313,0.8896
82,1083.1471114514254,1967.5986108398438,0.8922
83,1140.5884471526454,1947.238857421875,0.8925
84,1082.5162368595552,1972.5915502929688,0.8917
85,1039.5999493584247,1888.0589916992187,0.897
86,1040.6008081100024,1822.6690014648439,0.9004
87,996.8838223345754,1818.8187231445313,0.8993
88,911.9207663284085,1742.8455126953124,0.9031
89,885.1616720367601,1751.8782336425782,0.9038
90,926.4066658446584,1742.3695776367188,0.9044
91,921.5271390452134,1710.82470703125,0.9052
92,826.6551372829327,1673.6353845214844,0.9069
93,870.3833125036708,1681.014765625,0.9074
94,859.0877707195823,1661.5698657226562,0.9079
95,820.4603657286926,1647.3064599609374,0.909
96,786.6625171539478,1640.1937585449218,0.9088
97,788.175538489166,1640.1385400390625,0.909
98,743.6923740364223,1632.963699951172,0.9097
99,798.4282229990296,1639.1843579101562,0.9097
